,Last,First,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
379,BADENHORST,Nardus,18.0,7.0,0.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,1.0,RSA,HUN,L,Player
380,LAURENSON,Cameron Bain,7.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,RSA,HUN,L,Player
381,STONE,Ross,25.0,36.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,2.0,,,1.0,0.0,1.0,,1.0,,1.0,,,,2.0,RSA,HUN,L,Player
382,EVEZARD,Jason,18.0,22.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,0.0,RSA,HUN,L,Player
383,RODDA,Nicholas,24.0,6.0,1.0,7.0,0.0,5.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,0.0,2.0,,,,,,,,0.0,RSA,HUN,L,Player
384,MARGRO,Yaseen,18.0,3.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,RSA,HUN,L,Player
385,MAYMAN,Mogamad Farouk,11.0,40.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,RSA,HUN,L,Player
386,NEILL,Liam,16.0,48.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,HUN,L,Player
387,STEWART,Donn,20.0,8.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,RSA,HUN,L,Player
388,,,,,1.0,22.0,0.0,14.0,0.0,1.0,,,1.0,6.0,0.0,1.0,,,,,,,8.0,1.0,4.0,4.0,0.0,4.0,7.0,2.0,,1.0,,,1.0,11.0,RSA,HUN,L,Team
389,MUNARRIZ EGANA,Alberto,19.0,11.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,3.0,ESP,KAZ,W,Player
390,GRANADOS ORTEGA,Alvaro,22.0,45.0,5.0,7.0,2.0,3.0,,,,,0.0,1.0,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,2.0,ESP,KAZ,W,Player
391,SANAHUJA,Bernat,19.0,56.0,3.0,8.0,0.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,0.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,ESP,KAZ,W,Player
392,de TORO DOMINGUEZ,Miguel,18.0,55.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,0.0,ESP,KAZ,W,Player
393,LARUMBE GONFAUS,Marc,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,KAZ,W,Player
394,FAMERA,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,KAZ,W,Player
395,FERNANDEZ MIRANDA,Francisco,25.0,8.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,ESP,KAZ,W,Player
396,TAHULL COMPTE,Roger,13.0,5.0,1.0,3.0,,,1.0,1.0,,,0.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,0.0,ESP,KAZ,W,Player
397,PERRONE ROCHA,Felipe,18.0,24.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,ESP,KAZ,W,Player
398,MALLARACH GUELL,Blai,19.0,50.0,2.0,4.0,2.0,3.0,,,,,,,0.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,,,1.0,ESP,KAZ,W,Player
399,BUSTOS SANCHEZ,Ale andro,17.0,44.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,ESP,KAZ,W,Player
400,AGUIRRE,Unai,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ESP,KAZ,W,Player
401,,,,,16.0,29.0,4.0,11.0,2.0,2.0,1.0,1.0,5.0,8.0,0.0,1.0,,,2.0,2.0,2.0,4.0,4.0,7.0,8.0,5.0,3.0,4.0,6.0,2.0,,2.0,1.0,,,11.0,ESP,KAZ,W,Team
402,MAKHMETOV,Madikhan,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,KAZ,ESP,L,Player
403,MEDVEDEV,Yevgeniy,18.0,28.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,KAZ,ESP,L,Player
404,AUBAKIROV,Miras,14.0,13.0,0.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,1.0,,1.0,,0.0,2.0,1.0,1.0,,,,,,2.0,KAZ,ESP,L,Player
405,MARKOVIC,Dusan,19.0,13.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,2.0,3.0,1.0,,,1.0,,,,,,,1.0,KAZ,ESP,L,Player
406,SHMIDER,Alexey,16.0,29.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,0.0,1.0,,1.0,,,,,1.0,2.0,KAZ,ESP,L,Player
407,ARTYUKH,Danil,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,KAZ,ESP,L,Player
