,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
573,BADENHORST,Nardus,16:15,16.0,15.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
574,LAURENSON,Cameron Bain,13:07,13.0,7.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
575,STONE,Ross,23:14,23.0,14.0,2.0,6.0,1.0,3.0,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,1.0,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
576,EVEZARD,Jason,24:22,24.0,22.0,1.0,6.0,1.0,3.0,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
577,RODDA,Nicholas,24:16,24.0,16.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,1.0,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
578,MARGRO,Yaseen,19:08,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
579,MAYMAN,Mogamad Farouk,8:15,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
580,NEILL,Liam,15:37,15.0,37.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
581,STEWART,Donn,17:26,17.0,26.0,0.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
582,MAY,Gareth,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
